label,x,y,z,timestamp,
18,-0.40243924,-0.6678148,0.531626,0.33081695,0.5235988,1496906732703
18,-0.40273124,-0.669188,0.5294562,0.3311662,0.5235988,1496906732708
18,-0.4031561,-0.67056847,0.52725273,0.33137232,0.5235988,1496906732712
18,-0.40384927,-0.67177373,0.52498806,0.33168262,0.5235988,1496906732717
18,-0.41116136,-0.67814326,0.51877934,0.31927416,0.5235988,1496906732722
18,-0.4124781,-0.6784799,0.51647425,0.32059503,0.5235988,1496906732727
18,-0.41396943,-0.67806584,0.5142911,0.32304907,0.5235988,1496906732733
18,-0.41571164,-0.6769952,0.51224774,0.32628754,0.5235988,1496906732738
18,-0.41748372,-0.6754048,0.51049817,0.33004138,0.5235988,1496906732742
18,-0.4198596,-0.67313963,0.50974333,0.33281034,0.5235988,1496906732747
18,-0.42164424,-0.6707419,0.5087387,0.3369071,0.5235988,1496906732752
18,-0.42341706,-0.66811454,0.50819886,0.34069762,0.5235988,1496906732758
18,-0.42508286,-0.66544014,0.50821793,0.34381458,0.5235988,1496906732762
18,-0.42673966,-0.66282564,0.5086547,0.34615868,0.5235988,1496906732767
18,-0.42838132,-0.6604613,0.5093381,0.3476421,0.5235988,1496906732772
18,-0.4300929,-0.6584671,0.5099921,0.34835213,0.5235988,1496906732777
18,-0.43190286,-0.6569672,0.5103732,0.34838653,0.5235988,1496906732782
18,-0.43391332,-0.6558864,0.51026714,0.34807998,0.5235988,1496906732787
18,-0.4360337,-0.6551904,0.5096513,0.34764305,0.5235988,1496906732792
18,-0.4381076,-0.6548266,0.50848156,0.34743398,0.5235988,1496906732797
18,-0.43988204,-0.6547841,0.5069557,0.3475019,0.5235988,1496906732802
18,-0.44135478,-0.6548553,0.5052879,0.3479291,0.5235988,1496906732807
18,-0.44238254,-0.65501535,0.50369334,0.34863392,0.5235988,1496906732812
18,-0.44153756,-0.65295243,0.5047898,0.35197288,0.5235988,1496906732817
18,-0.4415546,-0.65334487,0.5033774,0.3532439,0.5235988,1496906732823
18,-0.44128743,-0.6537282,0.5018541,0.35503152,0.5235988,1496906732827
18,-0.44091964,-0.6540008,0.50007486,0.3574884,0.5235988,1496906732832
18,-0.44072196,-0.65397686,0.49786597,0.3608433,0.5235988,1496906732837
18,-0.44072235,-0.6535431,0.49530903,0.36512208,0.5235988,1496906732843
18,-0.44103578,-0.6524814,0.49262527,0.37023756,0.5235988,1496906732847
18,-0.44157615,-0.65073895,0.49017933,0.37586367,0.5235988,1496906732852
18,-0.4423268,-0.648315,0.48831958,0.38154766,0.5235988,1496906732857
18,-0.44319645,-0.64538,0.48727083,0.38681862,0.5235988,1496906732863
18,-0.44432554,-0.642063,0.4868821,0.39150444,0.5235988,1496906732868
18,-0.44575822,-0.63854444,0.48697102,0.39549944,0.5235988,1496906732872
18,-0.44751588,-0.6350464,0.48726305,0.3987735,0.5235988,1496906732877
18,-0.4495566,-0.6317471,0.48756015,0.40134713,0.5235988,1496906732883
18,-0.45194182,-0.62869847,0.48762006,0.40337765,0.5235988,1496906732888
18,-0.45449787,-0.62599814,0.48749,0.40485987,0.5235988,1496906732893
18,-0.4571937,-0.6236787,0.48714522,0.40581813,0.5235988,1496906732898
18,-0.45990965,-0.62171954,0.48670113,0.406288,0.5235988,1496906732903
18,-0.46273765,-0.6199588,0.48610154,0.4064852,0.5235988,1496906732908
18,-0.46559688,-0.6182902,0.48546585,0.4065215,0.5235988,1496906732913
18,-0.46573198,-0.6097309,0.49227,0.41108656,0.5235988,1496906732918
18,-0.46864414,-0.6080235,0.49164507,0.41105372,0.5235988,1496906732923
18,-0.4716931,-0.6061044,0.49093562,0.41124848,0.5235988,1496906732928
18,-0.474896,-0.6037885,0.49022508,0.41181624,0.5235988,1496906732933
18,-0.47832122,-0.6009589,0.48945433,0.4129064,0.5235988,1496906732937
18,-0.48185253,-0.5974731,0.48867607,0.41477674,0.5235988,1496906732943
18,-0.48533678,-0.5931061,0.48798916,0.41777974,0.5235988,1496906732948
18,-0.48830363,-0.5879713,0.4876916,0.42190778,0.5235988,1496906732953
18,-0.490463,-0.5822684,0.4879663,0.4269642,0.5235988,1496906732958
18,-0.4916558,-0.5762425,0.4887973,0.43277752,0.5235988,1496906732962
18,-0.49212226,-0.5699763,0.4898095,0.4393511,0.5235988,1496906732967
18,-0.49198142,-0.56370765,0.4907308,0.4465101,0.5235988,1496906732972
18,-0.49142632,-0.55758005,0.49140015,0.45401603,0.5235988,1496906732977
18,-0.49092734,-0.5520809,0.49139932,0.46121982,0.5235988,1496906732983
18,-0.49037358,-0.54617816,0.49146733,0.4687036,0.5235988,1496906732988
18,-0.49018306,-0.5402132,0.4912659,0.47597066,0.5235988,1496906732993
18,-0.49045137,-0.534255,0.49082732,0.4828225,0.5235988,1496906732998
18,-0.49108845,-0.5284494,0.49024332,0.4891164,0.5235988,1496906733002
18,-0.49208966,-0.5228728,0.4895094,0.4948053,0.5235988,1496906733007
18,-0.4933663,-0.5176691,0.48866457,0.49981532,0.5235988,1496906733012
18,-0.49480307,-0.51291806,0.4877847,0.50413394,0.5235988,1496906733018
18,-0.4962338,-0.5086962,0.48701397,0.50773776,0.5235988,1496906733023
18,-0.49768853,-0.5049065,0.48630434,0.5107677,0.5235988,1496906733028
18,-0.49905762,-0.50156623,0.48577538,0.51322037,0.5235988,1496906733033
18,-0.5002529,-0.4986489,0.48555022,0.515109,0.5235988,1496906733038
18,-0.50117016,-0.49612844,0.485773,0.5164394,0.5235988,1496906733042
18,-0.50181806,-0.4938929,0.4864392,0.51732516,0.5235988,1496906733048
18,-0.50207376,-0.49181783,0.4877084,0.51785874,0.5235988,1496906733053
18,-0.50152594,-0.48832282,0.49086323,0.51871556,0.5235988,1496906733058
18,-0.5011165,-0.4868454,0.49277243,0.5186898,0.5235988,1496906733062
18,-0.50050306,-0.48563227,0.4948343,0.51845634,0.5235988,1496906733067
18,-0.49974704,-0.4845029,0.4970539,0.518119,0.5235988,1496906733072
18,-0.49896535,-0.483326,0.49934107,0.5177722,0.5235988,1496906733077
18,-0.49822778,-0.48202172,0.50156766,0.5175462,0.5235988,1496906733083
18,-0.49769115,-0.48034278,0.5035206,0.5177271,0.5235988,1496906733088
18,-0.49737936,-0.47816435,0.50509477,0.51850927,0.5235988,1496906733093
18,-0.49732506,-0.47539058,0.50622725,0.52000535,0.5235988,1496906733098
18,-0.49750566,-0.4720386,0.50696313,0.5221648,0.5235988,1496906733103
18,-0.49792504,-0.46810782,0.507249,0.5250183,0.5235988,1496906733107
18,-0.49850625,-0.46374005,0.5071792,0.5283994,0.5235988,1496906733112
18,-0.499222,-0.45906135,0.50686496,0.5320977,0.5235988,1496906733118
18,-0.50001836,-0.45423642,0.5064154,0.5359052,0.5235988,1496906733123
18,-0.50092155,-0.4492776,0.50583446,0.53977656,0.5235988,1496906733128
18,-0.5018454,-0.44423422,0.50526667,0.54361075,0.5235988,1496906733132
18,-0.5027488,-0.43930995,0.50465655,0.54733187,0.5235988,1496906733138
18,-0.5034698,-0.43637896,0.50256616,0.5509254,0.5235988,1496906733143
18,-0.5037824,-0.4334875,0.5006236,0.5546782,0.5235988,1496906733147
18,-0.5039698,-0.430117,0.49944612,0.5581822,0.5235988,1496906733152
18,-0.50375265,-0.42711708,0.49836,0.5616419,0.5235988,1496906733158
18,-0.50304025,-0.4242496,0.49769276,0.56503516,0.5235988,1496906733163
18,-0.50220215,-0.421161,0.4977813,0.56800544,0.5235988,1496906733167
18,-0.50103295,-0.41832033,0.49835116,0.5706314,0.5235988,1496906733172
18,-0.49946514,-0.41581634,0.4993574,0.5729516,0.5235988,1496906733178
18,-0.49743304,-0.41370586,0.50074995,0.5750281,0.5235988,1496906733183
18,-0.4949649,-0.41190043,0.5023872,0.57702243,0.5235988,1496906733187
18,-0.4920604,-0.4105005,0.5040854,0.57901967,0.5235988,1496906733192
18,-0.48885936,-0.40983254,0.50549227,0.5809745,0.5235988,1496906733197
18,-0.48585153,-0.41073242,0.5060385,0.58238494,0.5235988,1496906733203
18,-0.48388678,-0.4137168,0.5053942,0.58246773,0.5235988,1496906733207
18,-0.48200536,-0.41513938,0.50587595,0.5825973,0.5235988,1496906733212
18,-0.47911447,-0.41384605,0.5075617,0.58443296,0.5235988,1496906733217
18,-0.47600287,-0.41142058,0.5092765,0.5871898,0.5235988,1496906733223
18,-0.47336236,-0.40838364,0.51045275,0.59041417,0.5235988,1496906733227
18,-0.47140175,-0.40480328,0.5109784,0.59398293,0.5235988,1496906733232
