,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,rot_phone_x,rot_phone_y,rot_phone_z,rot_phone_theta,rot_phone_phi,labelstairsdown,labelstairsup,labelstanding,labelwalking,labelsitting,labelondesk
2017-06-21 01:58:12.795,-2.3864035566,-8.40581238125,-1.68995578935,-0.494652328752,-1.54800813205,0.779021579418,-0.71015407865,0.29685845085,-0.027322654706,0.55180810055,0.5235988,0,1,0,0,0,0
2017-06-21 01:58:13.795,-4.04352545969,0.776580628973,7.19474102977,,-1.63641469678,,-0.249022118964,0.0017821748533,0.4842366947,0.274092887923,0.5235988,0,1,0,0,0,0
2017-06-21 01:58:14.795,-0.311083115227,7.82547515275,6.2702931435,-0.109134252086,0.399923794361,-0.087719982013,0.102381410902,-0.39940093015,-0.89237510725,0.17316191985,0.5235988,0,1,0,0,0,0
2017-06-21 01:58:15.795,-0.240268369973,7.2167928995,7.23319880425,-0.0474760608492,0.042437253066,0.0068754577135,0.13748245895,-0.35251205655,-0.89801880955,0.22398978135,0.5235988,0,1,0,0,0,0
2017-06-21 01:58:16.795,-0.953377481583,6.72612657111,7.3331775575,-0.075248432554,0.0259597010688,-0.109002272429,0.195891993091,-0.276700086315,-0.78504511303,0.394570644727,0.5235988,0,1,1,0,0,0
2017-06-21 01:58:17.795,,0.67010128392,4.24305039625,-0.191348854616,1.39121587863,-1.12650243595,0.40087485885,0.234982747683,-0.6425428882,0.51145072215,0.5235988,0,0,1,0,0,0
2017-06-21 01:58:18.795,-6.76620124804,-4.88061673362,-1.57985243837,-0.0197723058643,0.358504476793,,0.42567907985,0.2641305343,-0.3624078058,0.213159145712,0.5235988,0,0,1,0,0,0
2017-06-21 01:58:19.795,2.71930052999,-8.79609087811,-1.23133201723,-0.065488496659,0.070830658254,0.0225101806973,-0.21031950255,-0.7223662145,0.54423852555,0.36991815785,0.5235988,0,0,1,0,0,0
2017-06-21 01:58:20.795,2.13468100121,-8.80130197825,-1.55861291363,0.0137933845118,0.00949179115915,-0.00988672671504,-0.21384946415,-0.72254567385,0.5549557074,0.35216338775,0.5235988,0,0,1,0,0,0
2017-06-21 01:58:21.795,2.18995433409,-8.8334146792,-1.52876084135,-0.009079437299,0.00286943226375,0.001865929549,-0.22065693065,-0.72010143105,0.55308943725,0.3561567667,0.5235988,0,0,1,0,0,0
2017-06-21 01:58:22.795,2.1440455275,-8.82082738,-1.63107423475,0.009515974303,-0.00310367156925,-0.00404861455775,-0.22034031415,-0.7225387027,0.55063901935,0.3552140561,0.5235988,0,0,1,0,0,0
2017-06-21 01:58:23.795,2.14296178125,-8.83925103375,-1.54320695225,-0.00121910940775,-0.0014746432895,-0.00681157432575,-0.2236086023,-0.7186296033,0.55047225205,0.36130304545,0.5235988,0,0,1,0,0,0
2017-06-21 01:58:24.795,2.1552655614,-8.81342015915,-1.65720352456,-0.00422954425589,0.00262578652506,0.00680996659925,-0.2209739118,-0.72338439785,0.5488980372,0.35579055405,0.5235988,0,0,1,0,0,0
2017-06-21 01:58:25.795,2.00627801325,-8.829587165,-1.72914430275,-0.0123641120895,0.00235836454875,0.00867484209375,-0.22646806515,-0.72187189,0.548205488,0.3564747296,0.5235988,0,0,1,0,0,0
2017-06-21 01:58:26.795,1.976693527,-8.83368864375,-1.7350240755,0.00903951023175,0.0062605795395,-0.0050281609925,-0.2315545969,-0.7214347789,0.5456803968,0.3579706052,0.5235988,0,0,1,0,0,0
